id,text,created_at,lang
1968381155797057804,@MyLordBebo Aaaand when this Children look at the whole war and not only the parts Zelensky wants them to see... they will ask the question... WHY IN THE HELL... did Ukraine not accept the first negotiations in Istanbul were they could have kept all of Donbas without any deaths... https://t.co/SW6dZSfwnI,2025-09-17 18:26:52+00:00,en
1968381072380674063,"@AhmedShahAzfar @haque_shahidul Any such Ukraine mission depends on whether President Trump can secure a peace deal between Russia and Ukraine. Bangladesh can deploy non-operational, non-combat units, but parliament needs to authorize any combat role.",2025-09-17 18:26:33+00:00,en
1968381058518491508,"📡 A radar system was damaged in a drone attack in the Voronezh Region.

AFU drone damaged the antenna of the Sopka-2 radar system, ASTRA has discovered. This occurred near the village of Garmashevka, more than 170 km from the border with Ukraine.

See the latest updates with https://t.co/U9xiKoD4uX",2025-09-17 18:26:29+00:00,en
1968380814217068839,"@THESWEDISHTRUTH More facts exposing they liars of EU about the NATO, EU enabled false flag attack on Poland.
The fucking Wallenberg oligarchs of Sweden has failed again to enable WW3.
But these assholes still operate out of Ukraine to plan for more false flags for sure. 

https://t.co/SFVaRbJ9e4",2025-09-17 18:25:31+00:00,en
1968380621501460695,"@perteng1 @mtmalinen @ZelenskyyUa You want to say that for Ukraine to achieve peace, it needs to do the same as Finland did in 1944: unite with Russia and turn its weapons against NATO.)",2025-09-17 18:24:45+00:00,en
1968380600894837084,"@THESWEDISHTRUTH More facts exposing they liars of EU about the NATO, EU enabled false flag attack on Poland.
The fucking Wallenberg oligarchs of Sweden has failed again to enable WW3.
But these assholes still operate out of Ukraine to plan for more false flags for sure. 

https://t.co/SFVaRbJ9e4",2025-09-17 18:24:40+00:00,en
1968380594515067113,🎥#WATCH | King Charles welcomed Donald and Melania Trump to Windsor Castle in what analysts call a “charm offensive” aimed at nudging the U.S. president toward a Ukraine ceasefire. London hopes the royal reception and Charles’s ties to Zelensky will help push Trump to pressure https://t.co/UIcJij2erz,2025-09-17 18:24:39+00:00,en
1968380419549839654,"@lesliechurch @cafreeland Don’t forget 
- froze Canadians bank accounts
- almost bankrupted Canada
- cried during trade negotiations 
- carried Ukraine Nazi banner
- honoured an actual Nazi at the HOC",2025-09-17 18:23:57+00:00,en
1968380341879779584,"@leylahamed ‘Russia’ invaded Ukraine unprovoked to commence an actual genocide. Israel responded to a terror attack by neutralizing the perpetrators &amp; their benefactors. You call this a ‘genocide.’ 

These aren’t the same things.",2025-09-17 18:23:38+00:00,en
1968380259994321011,"More facts exposing they liars of EU about the NATO, EU enabled false flag attack on Poland.
The fucking Wallenberg oligarchs of Sweden has failed again to enable WW3.
But these assholes still operate out of Ukraine to plan for more false flags for sure. 

https://t.co/SFVaRbJ9e4",2025-09-17 18:23:19+00:00,en
1968380167027572817,"PM Modi thanks 'friend' Trump for birthday greetings, backs US peace efforts in Ukraine
https://t.co/PfJU7a6AyQ

via NaMo App https://t.co/birEMHtmdm",2025-09-17 18:22:57+00:00,en
1968380131648397583,"German Chancellor Merz promised that ""after Ukraine's capitulation, Russia will attack Europe"":

Capitulation will only push Putin to search for his next target. Ladies and gentlemen, in recent days we have witnessed violations of Polish and Romanian airspace. These events fit https://t.co/BrV76J0l8t",2025-09-17 18:22:48+00:00,en
1968390076762833040,legal instruments available could be game changing in the search for peace in Ukraine. Vladimir Vladimirovich has managed to avoid serious negotiations thus far. A new drive masterminded by President Trump with Keir as his right hand man could achieve a breakthrough. One of the,2025-09-17 19:02:19+00:00,en
1968389641947726305,"Whoops, seems Lavrov slipped up again.

He said any Western peacekeeping force in Ukraine would be ""occupation troops""🧐

🤔 If they're INVITED by us, how are they occupiers?
💡 He's admitting russia sees Ukraine as THEIR territory, not ours.
🚫 Clearly not serious about peace. https://t.co/hkQL5jY5lR",2025-09-17 19:00:36+00:00,en
